author_list,NPI,pub_id,pub_title,pub_date,journal_date
"[{""NPI"":""5991364923""},{""NPI"":""7389956135""}]",9595449903,26915120,id sapien in sapien iaculis,9/24/2019,1/22/2018
"[{""NPI"":""5297768136""},{""NPI"":""5518415508""}]",4083154756,64617972,non mattis pulvinar nulla,8/27/2013,3/21/2007
"[{""NPI"":""3299320645""}]",5824909253,19285651,non interdum in ante vestibulum,4/7/2017,8/25/2012
"[{""NPI"":""4344885791""},{""NPI"":""0242214002""},{""NPI"":""3542962775""},{""NPI"":""3274698784""},{""NPI"":""7061151757""}]",3870230169,25751081,nulla nunc,8/19/2019,8/1/2014
"[{""NPI"":4584282374},{""NPI"":""6157562781""},{""NPI"":""9041868070""},{""NPI"":""8610712737""},{""NPI"":""3088034197""}]",4770132026,85966531,erat quisque erat eros viverra,3/31/2009,7/3/2014
"[{""NPI"":""5583334363""},{""NPI"":""8392610849""},{""NPI"":""2067408038""},{""NPI"":""5049892627""},{""NPI"":""0984322248""},{""NPI"":""1643210017""}]",3483434402,79728037,feugiat et,5/15/2012,5/24/2018
"[{""NPI"":""8274332342""},{""NPI"":""1784679844""},{""NPI"":""5041570507""}]",3408675813,40864102,in tempor turpis,7/26/2010,5/18/2014
"[{""NPI"":""1335498311""},{""NPI"":""7397425801""},{""NPI"":""1258430630""},{""NPI"":""6434187122""}]",8609043460,83548045,vel,10/14/2007,7/3/2009
"[{""NPI"":""5888373036""},{""NPI"":""2725197791""},{""NPI"":""5445749053""},{""NPI"":""5156132464""},{""NPI"":""5215506973""}]",2519993871,77491096,ante,7/24/2007,7/31/2011
"[{""NPI"":""6157562781""}]",4868118390,73999570,a ipsum integer,6/28/2016,6/29/2015
"[{""NPI"":""7968486696""},{""NPI"":""5910967746""},{""NPI"":""0950708682""},{""NPI"":""5538486591""}]",7436573020,22380093,blandit nam nulla integer pede justo,2/24/2017,10/26/2009
"[{""NPI"":""6501681073""},{""NPI"":""7061151757""},{""NPI"":""1231842768""},{""NPI"":""2649292431""},{""NPI"":""0483466867""},{""NPI"":""3037443618""}]",3929651106,39233658,justo lacinia eget tincidunt,1/14/2016,11/21/2015
"[{""NPI"":""5581747385""},{""NPI"":""5269221810""},{""NPI"":""7475706524""},{""NPI"":""8718212743""}]",3299320645,13605264,vitae mattis,4/1/2012,8/8/2019
"[{""NPI"":""0890343969""},{""NPI"":""3914514949""},{""NPI"":""0536506000""}]",1891834592,37427281,morbi quis tortor id nulla ultrices,4/21/2009,10/16/2015
"[{""NPI"":""8612763495""},{""NPI"":""2615817787""},{""NPI"":""9187876582""},{""NPI"":""6086819661""}]",2572783916,74123462,quis justo maecenas rhoncus aliquam lacus,12/30/2009,3/13/2008
"[{""NPI"":""2287494685""},{""NPI"":8140640816},{""NPI"":""1484717651""},{""NPI"":""5581747385""},{""NPI"":""6203610232""}]",4979256449,37341925,at,11/6/2012,3/13/2009
"[{""NPI"":""8179915778""},{""NPI"":""3698987708""},{""NPI"":""4503499041""},{""NPI"":""0239419383""},{""NPI"":""3890684939""}]",7711023774,01959932,pharetra magna ac consequat metus,12/23/2018,8/17/2008
"[{""NPI"":""6950255187""},{""NPI"":""8665587128""},{""NPI"":""4738495038""}]",0917283325,51696026,tincidunt nulla mollis molestie,8/12/2006,5/9/2015
"[{""NPI"":""4032143811""},{""NPI"":""8471573857""},{""NPI"":""8728427270""}]",2503804012,26412093,amet sem fusce consequat nulla,7/1/2012,5/22/2008
"[{""NPI"":""0597646872""},{""NPI"":""3251534963""},{""NPI"":""5829196514""},{""NPI"":""2381338020""},{""NPI"":""2056878399""},{""NPI"":""8570374437""}]",5338463008,03432278,turpis,6/18/2018,11/25/2006
"[{""NPI"":""8422000008""},{""NPI"":""0917432037""}]",6221089832,10245284,dictumst aliquam augue quam sollicitudin vitae,3/23/2015,11/23/2015
"[{""NPI"":""7295802991""},{""NPI"":""3126374158""}]",4676038909,73252055,vel,8/12/2011,2/11/2010
"[{""NPI"":""8244981873""},{""NPI"":""4418777318""},{""NPI"":""5012024974""},{""NPI"":""9024129249""}]",2890394573,74401634,nulla facilisi cras non velit,10/7/2014,9/29/2006
"[{""NPI"":1283066823},{""NPI"":""5012024974""},{""NPI"":""6456905095""},{""NPI"":""7954677850""},{""NPI"":""8728427270""}]",1831256479,38610464,iaculis congue vivamus metus arcu adipiscing,9/22/2007,4/24/2015
"[{""NPI"":""7332735520""},{""NPI"":""0835510794""},{""NPI"":""0913125830""},{""NPI"":""5925516559""}]",9041868070,24037652,sagittis dui vel,12/7/2009,10/19/2009
"[{""NPI"":""3251534963""}]",2400730555,86824234,ultrices posuere cubilia curae nulla,4/12/2007,11/28/2008
"[{""NPI"":""7080997771""},{""NPI"":""0189859199""},{""NPI"":""7080997771""},{""NPI"":""5162661058""},{""NPI"":""8244981873""}]",1597850187,48992848,pellentesque,3/1/2014,12/7/2005
"[{""NPI"":""4020282412""},{""NPI"":""5829196514""},{""NPI"":""8733743665""},{""NPI"":""6727825513""},{""NPI"":""9476356030""}]",9158908625,76572032,ut mauris eget massa tempor convallis,5/31/2018,2/21/2012
"[{""NPI"":""8802790965""},{""NPI"":""5991364923""},{""NPI"":""7501549400""},{""NPI"":""8881136856""}]",9595449903,99807589,sapien cum,8/23/2014,10/3/2018
"[{""NPI"":""9268878763""},{""NPI"":""6395063200""}]",3182668366,69021346,dolor sit,10/27/2017,3/22/2008
"[{""NPI"":""4933821461""},{""NPI"":""2209911303""}]",7576240857,49786243,platea,2/17/2008,1/15/2012
"[{""NPI"":""4503499041""},{""NPI"":""0781825741""}]",6410306830,70719375,phasellus id sapien in sapien iaculis,11/7/2017,10/28/2015
"[{""NPI"":""5922092812""},{""NPI"":""8225902939""},{""NPI"":""6163978005""},{""NPI"":""6818637140""}]",1219236861,36815313,arcu sed augue aliquam erat,9/8/2015,2/26/2015
"[{""NPI"":""3558632222""},{""NPI"":2099272956},{""NPI"":""9791528772""},{""NPI"":""1699710619""},{""NPI"":""6787560788""}]",5041570507,93171209,donec semper sapien a libero nam,7/1/2009,10/9/2014
"[{""NPI"":""6696640363""},{""NPI"":""5683334640""},{""NPI"":""2693198704""},{""NPI"":""1687900337""},{""NPI"":""1172238189""},{""NPI"":""7954677850""}]",3682510400,56273598,lectus pellentesque at nulla suspendisse potenti,5/10/2017,1/13/2019
"[{""NPI"":""7147537114""},{""NPI"":""5162661058""}]",5143994675,97609851,nam,9/25/2015,9/4/2016
"[{""NPI"":""5925516559""},{""NPI"":""0482292237""},{""NPI"":""1857504992""},{""NPI"":""4083154756""},{""NPI"":""8726245728""}]",5391262070,95600080,rhoncus,12/22/2007,10/15/2009
"[{""NPI"":""8298837126""},{""NPI"":""0761842233""},{""NPI"":""9166466598""},{""NPI"":""6098052913""},{""NPI"":""5499158770""}]",1755355297,40056721,leo odio porttitor id,11/9/2014,6/10/2012
"[{""NPI"":""7330842532""}]",0014579480,02390688,consectetuer adipiscing elit proin interdum,6/16/2008,5/29/2010
"[{""NPI"":""9582816570""},{""NPI"":""2535784998""},{""NPI"":""5910967746""},{""NPI"":""5110411638""}]",4324613613,37216707,justo lacinia eget tincidunt,4/14/2019,2/1/2015
"[{""NPI"":""9063999194""},{""NPI"":""5743580006""},{""NPI"":""8117774542""},{""NPI"":""7903195441""}]",9392991037,00383544,sit amet erat,11/29/2006,1/26/2009
"[{""NPI"":""8786548263""},{""NPI"":""2381338020""},{""NPI"":""8047416294""},{""NPI"":""8362755792""}]",3343410578,47281666,sit amet eros,1/13/2007,5/3/2007
"[{""NPI"":""5049892627""},{""NPI"":""6205331853""},{""NPI"":""9916276722""},{""NPI"":""7389956135""},{""NPI"":""9476356030""},{""NPI"":""4979256449""}]",7168740733,60260046,sed interdum venenatis,6/1/2010,10/25/2016
"[{""NPI"":""1581686382""}]",4786901180,54999597,in tempus,10/22/2008,9/7/2019
"[{""NPI"":""8187990236""},{""NPI"":""7273621706""},{""NPI"":""4736470607""},{""NPI"":""2255021978""}]",0082427135,61826539,porta volutpat erat quisque,6/14/2008,4/8/2017
"[{""NPI"":""8293896841""},{""NPI"":""0242094686""},{""NPI"":""6923485118""},{""NPI"":""3142067604""}]",0849244617,01252496,nunc commodo placerat praesent blandit nam,9/8/2018,5/15/2017
"[{""NPI"":""5497157297""},{""NPI"":""5984020769""}]",5206690554,45332574,nulla ultrices aliquet maecenas leo odio,2/16/2016,8/3/2009
"[{""NPI"":""3904531980""},{""NPI"":""1535680156""},{""NPI"":""5813207724""}]",1643210017,32739176,consequat lectus in,12/29/2012,1/25/2006
"[{""NPI"":""3038853291""},{""NPI"":""1837300968""}]",0881811386,49262506,nisi venenatis tristique fusce congue diam,1/7/2009,9/13/2007
"[{""NPI"":""4786901180""},{""NPI"":""3910038816""},{""NPI"":""2724280199""},{""NPI"":""7064671387""},{""NPI"":""0268243751""},{""NPI"":""5739509440""}]",1938216857,48584317,morbi a ipsum integer a nibh,12/29/2011,5/11/2013
"[{""NPI"":""1270474286""},{""NPI"":""9869563791""},{""NPI"":""5012024974""},{""NPI"":""7839976166""}]",6563491553,02394927,ante nulla,2/27/2018,9/4/2019
"[{""NPI"":""1314186108""},{""NPI"":""9759862204""},{""NPI"":""4607312894""},{""NPI"":""5377996526""},{""NPI"":""6061763980""}]",8225902939,61182362,sapien quis libero,7/17/2018,4/16/2012
"[{""NPI"":""0769830145""}]",4592756320,51831972,diam nam tristique tortor eu pede,7/11/2009,11/2/2006
"[{""NPI"":""9503188946""},{""NPI"":""7877397348""}]",0242214002,70527157,diam cras pellentesque volutpat dui maecenas,2/14/2009,5/21/2016
"[{""NPI"":""3517223859""},{""NPI"":""1318022193""}]",1155276051,03660468,tortor sollicitudin mi sit amet,1/17/2007,8/22/2008
"[{""NPI"":""3528589825""},{""NPI"":""0802309682""},{""NPI"":""0320994589""},{""NPI"":""0242214002""},{""NPI"":""3530163740""}]",6646117284,02830172,nullam porttitor lacus at,5/12/2019,9/14/2009
"[{""NPI"":""7114485239""},{""NPI"":""3528589825""},{""NPI"":""7576240857""},{""NPI"":""6380993843""},{""NPI"":""2615817787""}]",4770132026,25417409,pellentesque at nulla suspendisse potenti cras,11/3/2012,3/8/2009
"[{""NPI"":""7478060420""},{""NPI"":""2496698909""},{""NPI"":""3267657024""}]",9187876582,22589005,in,8/14/2018,7/11/2012
"[{""NPI"":""0605985987""},{""NPI"":""9037061133""},{""NPI"":""5206690554""},{""NPI"":""6061763980""},{""NPI"":""9220794535""},{""NPI"":""3251534963""}]",9635954115,66211270,eu mi nulla,4/5/2010,12/28/2010
"[{""NPI"":""5559792225""},{""NPI"":""9603555312""},{""NPI"":""7049246921""}]",0412527561,55020656,luctus rutrum,10/23/2014,12/13/2013
"[{""NPI"":""1560368330""}]",6278548615,67570023,id sapien in sapien iaculis,10/18/2005,11/12/2007
"[{""NPI"":""1590093755""},{""NPI"":""4624566424""},{""NPI"":""9658191053""}]",5391262070,70593036,sem praesent,4/22/2013,8/7/2015
"[{""NPI"":""1300336978""},{""NPI"":""8802790965""},{""NPI"":""8117774542""},{""NPI"":""3983213499""},{""NPI"":""9330683452""},{""NPI"":""4736470607""}]",4382740339,31116645,quam sapien,10/8/2010,12/13/2010
"[{""NPI"":""3696044180""},{""NPI"":""6410306830""}]",8744723539,89213938,dolor sit amet consectetuer adipiscing elit,6/27/2018,10/6/2012
"[{""NPI"":""2335800051""},{""NPI"":""7621291974""},{""NPI"":""1484717651""},{""NPI"":""1308359969""},{""NPI"":""9975996450""},{""NPI"":""7025549576""}]",0881811386,81457989,vestibulum proin eu mi nulla ac,12/20/2017,5/16/2011
"[{""NPI"":""7576240857""},{""NPI"":""0589084259""},{""NPI"":""3805953550""}]",2519993871,24107749,et magnis,5/10/2010,12/18/2007
"[{""NPI"":""0825755212""},{""NPI"":""4302447524""},{""NPI"":""3110594684""},{""NPI"":""4503499041""},{""NPI"":""1789876931""}]",4607312894,68332818,dapibus,11/7/2017,8/8/2013
"[{""NPI"":""7855327584""}]",9017679476,80007408,eget elit sodales scelerisque mauris,2/3/2007,1/3/2016
"[{""NPI"":""5909220837""}]",7832317000,75345179,odio in hac,2/21/2016,2/2/2014
"[{""NPI"":""4092128347""},{""NPI"":""4131576406""}]",2242581422,67506674,justo sit amet,10/6/2017,3/3/2010
"[{""NPI"":""9406076462""},{""NPI"":""2815572060""},{""NPI"":""8209242768""}]",0316282510,49232278,etiam,7/22/2017,7/10/2018
"[{""NPI"":""9530992297""},{""NPI"":""3101581397""}]",3363262787,07858329,vestibulum ante ipsum primis in faucibus,1/9/2018,1/17/2013
"[{""NPI"":""8718212743""},{""NPI"":""8742524237""},{""NPI"":""0632028866""},{""NPI"":""9084964497""},{""NPI"":""3531061798""},{""NPI"":""5673774869""}]",7295802991,71831707,nulla,7/31/2018,9/1/2009
"[{""NPI"":""1581686382""},{""NPI"":""8050037738""}]",5703531667,63718199,adipiscing elit proin risus,3/16/2015,11/3/2009
"[{""NPI"":""6147774522""},{""NPI"":""3386179517""},{""NPI"":""3152559577""},{""NPI"":""1053627920""},{""NPI"":""6607519261""},{""NPI"":""1740187172""}]",3784981348,34619463,pellentesque viverra pede ac,9/30/2011,5/7/2016
"[{""NPI"":""1744868565""},{""NPI"":""0138032904""}]",4539616102,20471968,sagittis nam,11/24/2018,10/19/2013
"[{""NPI"":""5673774869""},{""NPI"":""7002885340""},{""NPI"":""1542961793""},{""NPI"":""9238363994""},{""NPI"":""3531061798""},{""NPI"":""9268878763""}]",9583672858,32055875,cras pellentesque volutpat dui maecenas tristique,10/10/2019,1/8/2010
"[{""NPI"":""4350532102""},{""NPI"":""0306248255""},{""NPI"":""3890684939""},{""NPI"":""1670762823""},{""NPI"":""3929651106""}]",1229100660,90941263,cras mi pede malesuada,9/7/2016,8/25/2009
"[{""NPI"":8697450756},{""NPI"":""1229100660""},{""NPI"":""4013160072""}]",0917283325,60400386,vulputate vitae nisl aenean,9/17/2014,6/14/2008
"[{""NPI"":""0647118076""},{""NPI"":""3018306953""}]",1490008179,24419682,orci,12/30/2018,11/25/2008
"[{""NPI"":""0038494302""},{""NPI"":""5364249271""},{""NPI"":""0632028866""}]",7068487122,05891650,ultrices posuere cubilia curae duis faucibus,11/2/2015,6/13/2014
