Speaker,Attendee,rep_id,Date,Title,Location
2649292431,"[{""NPI"":""2922950425""},{""NPI"":""3018306953""},{""NPI"":""8496499359""}]",1098391666,4/23/2019,pellentesque viverra,Gandi
3299175882,"[{""NPI"":""4138512330""}]",0164078760,6/12/2019,mus vivamus vestibulum,Fosses
0543863719,"[{""NPI"":""3649717956""},{""NPI"":""0835510794""},{""NPI"":""7496386340""}]",1438366447,11/12/2018,vel pede morbi porttitor,Kuvandyk
2579087966,"[{""NPI"":""0444040579""},{""NPI"":4584282374},{""NPI"":""1609004205""},{""NPI"":""6532975060""},{""NPI"":""8179915778""}]",2636088471,6/21/2019,vestibulum sagittis sapien,Tucheng
8132014618,"[{""NPI"":""0038494302""}]",6040240514,5/9/2019,dui proin leo odio porttitor,Camiling
4135071937,"[{""NPI"":""5935594722""},{""NPI"":""4703209128""},{""NPI"":""8253491700""}]",0423191904,4/24/2019,quis turpis,Villa Dolores
9595449903,"[{""NPI"":""0090717546""}]",8989994229,7/15/2019,nec nisi,Kindu
5935594722,"[{""NPI"":""3431218679""},{""NPI"":""1617175102""},{""NPI"":""1490869166""},{""NPI"":""3976588849""}]",4348320307,9/29/2019,luctus rutrum nulla tellus in,Tiantang
4273602318,"[{""NPI"":""8599195352""},{""NPI"":""3915637696""},{""NPI"":""8515315831""},{""NPI"":""7803729053""}]",1409682491,9/30/2019,mi sit,Pedrulheira
9166466598,"[{""NPI"":""2776868839""},{""NPI"":""8287921767""},{""NPI"":""0268243751""},{""NPI"":""4765454681""},{""NPI"":""9587376919""}]",7243410389,2/3/2019,semper porta volutpat quam,Harembo
8173170347,"[{""NPI"":""6631412293""},{""NPI"":""9016129278""},{""NPI"":""3517223859""},{""NPI"":""8930471994""}]",0215768168,6/5/2019,duis aliquam convallis nunc,Ash Shuhadā’
0105322903,"[{""NPI"":""7667532974""},{""NPI"":""2122646853""},{""NPI"":""8274332342""}]",6569100706,6/8/2019,quam nec,Kontiolahti
2094095304,"[{""NPI"":""0111145600""},{""NPI"":""2835110631""}]",3431865416,4/23/2019,maecenas rhoncus aliquam lacus morbi,Juhaynah
2076572457,"[{""NPI"":""6285458642""},{""NPI"":""6221089832""}]",0719467846,4/17/2019,vel nulla,"Palmas De Gran Canaria, Las"
2334278564,"[{""NPI"":""4979256449""},{""NPI"":""8577249271""},{""NPI"":""1412701643""}]",3874079909,1/7/2019,justo etiam pretium iaculis justo,Izumiōtsu
3698987708,"[{""NPI"":""4539616102""},{""NPI"":""7008052871""},{""NPI"":""2255021978""},{""NPI"":""0105322903""}]",9291506501,12/10/2018,posuere felis sed,Dagestanskiye Ogni
1023348470,"[{""NPI"":""3649717956""},{""NPI"":""2287494685""},{""NPI"":""0322191971""},{""NPI"":""3976588849""},{""NPI"":""8930406912""}]",1101770772,4/2/2019,at feugiat non pretium quis,Hudiksvall
4584282374,"[{""NPI"":""0597646872""}]",5463805682,12/5/2018,ac lobortis,Cibunar
0221661883,"[{""NPI"":""3952117293""},{""NPI"":""9530992297""},{""NPI"":""5377996526""}]",2499233417,6/6/2019,cursus urna,Żarnów
8392610849,"[{""NPI"":""6682606990""},{""NPI"":""6646117284""},{""NPI"":""3873936240""}]",6844477919,9/19/2019,purus sit amet nulla quisque,Los Charrúas
3976588849,"[{""NPI"":""5215506973""},{""NPI"":""5739509440""},{""NPI"":""0857205943""}]",4546506800,4/2/2019,hac habitasse,Lubień Kujawski
3592115715,"[{""NPI"":""1188042106""}]",7042869093,6/12/2019,vel est donec odio justo,Ceará Mirim
2693198704,"[{""NPI"":""2380819815""},{""NPI"":""0605985987""}]",4905324794,9/13/2019,eros viverra eget congue,Mataguži
8179915778,"[{""NPI"":""6454051366""},{""NPI"":""9063999194""}]",6329360150,2/10/2019,ut dolor morbi,Lianyun
4617162100,"[{""NPI"":""6415018140""},{""NPI"":""9587376919""},{""NPI"":""8735784962""}]",5812514520,2/13/2019,in sapien iaculis,Kamenka
3299175882,"[{""NPI"":""3976588849""},{""NPI"":""5162661058""},{""NPI"":""3914514949""},{""NPI"":""8809590813""},{""NPI"":""9658191053""}]",9237205279,7/13/2019,orci luctus et ultrices,Sŭngho 1-tong
6532975060,"[{""NPI"":""1831256479""},{""NPI"":""9591791461""}]",7768596750,5/5/2019,sed augue aliquam,Ahar
1643210017,"[{""NPI"":""8082475544""},{""NPI"":""9016129278""},{""NPI"":""7002885340""}]",6517412670,10/8/2019,nulla sed vel enim sit,Butere
9649090223,"[{""NPI"":""8033848154""},{""NPI"":""3411372559""}]",0324094348,6/10/2019,a odio,Tanahwangko
9768233729,"[{""NPI"":""0189859199""},{""NPI"":""8665587128""},{""NPI"":""8384460841""},{""NPI"":""8711885939""},{""NPI"":""9258141458""}]",9663059550,6/24/2019,condimentum id luctus nec,Perreng
4901848194,"[{""NPI"":""8665587128""}]",7902762306,8/11/2019,varius ut blandit,Carabayllo
8800207952,"[{""NPI"":""0704371235""},{""NPI"":""1231842768""}]",0200284663,11/27/2018,consectetuer adipiscing elit,Xujiafang
1419558978,"[{""NPI"":2261946848},{""NPI"":""5337850318""},{""NPI"":""5178491114""}]",4809931918,8/15/2019,ultrices libero non mattis,Kireyevsk
2654745163,"[{""NPI"":""2291737252""},{""NPI"":""5935594722""}]",4040053286,3/26/2019,maecenas leo odio condimentum id,Koungheul
7469272615,"[{""NPI"":""8885204430""},{""NPI"":""6135132636""},{""NPI"":""4757153597""},{""NPI"":""0211496081""}]",0306078424,4/23/2019,in congue etiam justo,Longlou
5299571720,"[{""NPI"":""8050700925""},{""NPI"":""9016129278""},{""NPI"":""3853713084""},{""NPI"":""3570762793""},{""NPI"":""4151147268""}]",0984782356,1/31/2019,phasellus id sapien in sapien,Mtwara
4555770706,"[{""NPI"":""4070783660""},{""NPI"":""0418262446""},{""NPI"":""5041570507""},{""NPI"":""5082488562""}]",3166834249,5/28/2019,volutpat sapien arcu,Kraljevo
1236256131,"[{""NPI"":""0047361956""},{""NPI"":""2162685434""},{""NPI"":""2871961360""},{""NPI"":""4083154756""},{""NPI"":""7927274589""}]",8337214507,12/21/2018,ac nibh fusce lacus,Sumberkemuning
4961943819,"[{""NPI"":""7044669506""},{""NPI"":""6129417713""},{""NPI"":""4617162100""},{""NPI"":""5435385431""}]",4683763606,8/25/2019,ut ultrices,Vangaindrano
3490696336,"[{""NPI"":""3745638867""},{""NPI"":""0359405274""}]",2246878685,4/24/2019,donec diam neque vestibulum eget,Singida
4092128347,"[{""NPI"":""4320089642""},{""NPI"":""1867394928""},{""NPI"":""7397425801""},{""NPI"":""8589162788""}]",0035633936,7/26/2019,in felis donec semper,Weru
5162661058,"[{""NPI"":""0951779311""},{""NPI"":""4082573690""},{""NPI"":""4862985874""},{""NPI"":""1950337383""}]",8884644443,11/11/2018,duis bibendum morbi,Al Jawf
9016129278,"[{""NPI"":""1138375586""},{""NPI"":""4933821461""},{""NPI"":""3999490004""},{""NPI"":""8225902939""},{""NPI"":""1744868565""}]",2052056970,6/29/2019,praesent blandit,Xiagong
3482086494,"[{""NPI"":""3696044180""},{""NPI"":""8733743665""},{""NPI"":""6410306830""},{""NPI"":""8858097866""}]",6730762452,8/17/2019,rhoncus mauris enim leo,Köln
0737263806,"[{""NPI"":""6243520382""},{""NPI"":""9649090223""},{""NPI"":""9655010953""},{""NPI"":""6453132370""},{""NPI"":""5532819459""}]",0405713261,2/18/2019,at lorem integer tincidunt,Biao
2442162539,"[{""NPI"":""9258141458""}]",8412928478,7/26/2019,pede posuere,Yunfeng
8177673084,"[{""NPI"":""5364249271""},{""NPI"":""9878050912""},{""NPI"":""3935642784""},{""NPI"":""2335800051""}]",0083460207,10/7/2019,eget massa tempor,Taman
9882809901,"[{""NPI"":""4382740339""},{""NPI"":""4003589343""},{""NPI"":""5888024694""}]",4338842933,6/14/2019,non velit nec nisi vulputate,Nzeto
8828276126,"[{""NPI"":""6943013432""},{""NPI"":""2335800051""},{""NPI"":""0138032904""},{""NPI"":""0221661883""}]",7432215572,11/11/2018,varius ut blandit non,Ferreiras
1188042106,"[{""NPI"":""1542961793""},{""NPI"":""6501681073""},{""NPI"":""3548272282""},{""NPI"":""2385003090""},{""NPI"":""7440411498""}]",3048587571,2/12/2019,feugiat et eros,Kokkinóchoma
7501549400,"[{""NPI"":""5991364923""}]",9451982010,2/19/2019,interdum eu tincidunt in,Stockholm
9902823335,"[{""NPI"":""7068487122""},{""NPI"":""4770132026""},{""NPI"":""3655585071""},{""NPI"":""3809560022""},{""NPI"":""1141858053""}]",6909723121,11/16/2018,quisque erat eros viverra,Roma
7511762123,"[{""NPI"":""7397425801""},{""NPI"":""1231842768""}]",8412116317,1/7/2019,aenean fermentum,Huangtu
8828276126,"[{""NPI"":""2947368231""}]",7851551134,7/31/2019,purus sit amet,Xinxu
2045174573,"[{""NPI"":""3805953550""},{""NPI"":""8786548263""}]",1642695432,4/5/2019,duis faucibus accumsan odio curabitur,Krzęcin
7542302124,"[{""NPI"":""6285458642""},{""NPI"":""7511762123""},{""NPI"":""2615817787""},{""NPI"":""9063999194""},{""NPI"":""0120954435""}]",3464868649,12/4/2018,dolor morbi vel lectus,New York City
8237497406,"[{""NPI"":""1300336978""},{""NPI"":""6787560788""},{""NPI"":""7667532974""},{""NPI"":""2752432445""},{""NPI"":""5607532658""}]",3902128750,6/20/2019,eget elit sodales,Almere Haven
0105322903,"[{""NPI"":""5518415508""}]",0762642852,5/1/2019,aenean sit,Leifeng
4232895191,"[{""NPI"":""4092247338""}]",0744329805,7/5/2019,mus etiam vel augue,Mayahi
2334278564,"[{""NPI"":""0849244617""},{""NPI"":""1164206443""}]",7578127258,5/25/2019,tincidunt nulla,Franceville
9567453721,"[{""NPI"":""2267057123""},{""NPI"":""6532975060""},{""NPI"":""8825429649""}]",3840788485,2/25/2019,elementum nullam varius nulla,Praia
4958201440,"[{""NPI"":""6765949437""},{""NPI"":""1755355297""},{""NPI"":""1953564151""},{""NPI"":""0761842233""}]",7264965208,8/21/2019,sed nisl nunc,Ulaan-Ereg
5696756093,"[{""NPI"":""0849244617""},{""NPI"":""3904531980""},{""NPI"":""2163964876""},{""NPI"":""6297715769""}]",3181246854,6/13/2019,accumsan tortor,Bureya
1049760247,"[{""NPI"":""0242214002""},{""NPI"":""7267330606""},{""NPI"":""1089995814""},{""NPI"":""9907182656""},{""NPI"":""2334278564""}]",7055172346,10/16/2019,ut odio cras,Cortez
1520290950,"[{""NPI"":""6551327125""},{""NPI"":""5845695325""},{""NPI"":""2067408038""}]",0985149563,12/21/2018,morbi sem,Clifden
1082842753,"[{""NPI"":""6369977764""},{""NPI"":""2305031602""},{""NPI"":""7576240857""}]",5128067949,10/2/2019,lacinia erat vestibulum sed magna,San Martín Zapotitlán
1565913612,"[{""NPI"":""7868420863""}]",8793186033,9/11/2019,placerat praesent blandit nam nulla,Talugtug
0761842233,"[{""NPI"":""9020719610""},{""NPI"":""4320089642""},{""NPI"":""8558938288""}]",6174395333,9/27/2019,dui luctus rutrum nulla,Rassvet
9121204020,"[{""NPI"":""8405021116""},{""NPI"":""1755355297""},{""NPI"":""5215506973""},{""NPI"":""1349060569""}]",8927317119,7/6/2019,vestibulum ac est lacinia nisi,Harstad
9330683452,"[{""NPI"":""1609004205""},{""NPI"":""9907182656""}]",1237609551,2/10/2019,elementum ligula,Jam
8515315831,"[{""NPI"":""6851194791""},{""NPI"":""9024129249""},{""NPI"":""4687390331""}]",0830375442,12/26/2018,bibendum felis sed interdum,Zhoukou
5175122185,"[{""NPI"":""2725197791""},{""NPI"":""6696640363""}]",8998016572,6/7/2019,tellus nulla,Makarska
1149721324,"[{""NPI"":""2693198704""},{""NPI"":""9166466598""},{""NPI"":""6851194791""},{""NPI"":""3506219146""},{""NPI"":""3506219146""}]",9895528345,12/16/2018,ut nunc vestibulum ante ipsum,Vernon
2887899473,"[{""NPI"":""3873936240""},{""NPI"":""2287494685""},{""NPI"":1283066823},{""NPI"":""3374299571""}]",0952431312,12/24/2018,in sapien iaculis congue,Karanggedang
1065893191,"[{""NPI"":""0242214002""},{""NPI"":""3548726984""}]",4673318424,12/18/2018,sed nisl nunc,Xigaoshan
7496386340,"[{""NPI"":""0281625514""},{""NPI"":""5888024694""},{""NPI"":""1164206443""},{""NPI"":""7758980430""},{""NPI"":""6822264043""}]",3487389455,2/22/2019,pulvinar nulla pede ullamcorper augue,Sumurnanjung
2380819815,"[{""NPI"":""4002482405""},{""NPI"":""4701556009""},{""NPI"":""1490869166""},{""NPI"":""8515315831""},{""NPI"":""4302447524""}]",1379413122,6/24/2019,felis eu sapien,Daugavpils
8117774542,"[{""NPI"":""5269221810""},{""NPI"":""6754683945""},{""NPI"":""5743580006""},{""NPI"":""3914514949""}]",5137848354,11/29/2018,sit amet nulla quisque,Sparks
1431658529,"[{""NPI"":""0304207977""},{""NPI"":""9587376919""},{""NPI"":""4503499041""},{""NPI"":""8274332342""},{""NPI"":""3107937762""}]",8278991748,10/17/2019,ac neque,Anseong
5808297257,"[{""NPI"":""3037443618""},{""NPI"":""8378720772""},{""NPI"":""0525803807""},{""NPI"":""1893603520""},{""NPI"":""2287494685""}]",0301135635,9/22/2019,pellentesque volutpat dui maecenas tristique,La Cuesta
5505496563,"[{""NPI"":""5518415508""}]",1725030911,9/6/2019,felis sed,Xinying
7210385843,"[{""NPI"":""8392610849""},{""NPI"":""3088034197""},{""NPI"":""8744723539""}]",9017630696,6/22/2019,sem mauris laoreet ut,Polje
3649717956,"[{""NPI"":""8513742716""},{""NPI"":""3059594066""}]",9616044011,1/11/2019,donec vitae,Santa Inês
5929901651,"[{""NPI"":""3214812874""},{""NPI"":""3018306953""}]",3325223152,6/25/2019,libero non mattis,San Benito
4697857933,"[{""NPI"":""7061151757""}]",0661416517,8/29/2019,blandit mi,Ladário
9598638693,"[{""NPI"":""8733743665""},{""NPI"":""0444040579""},{""NPI"":""8290378645""}]",1990763214,2/13/2019,venenatis tristique fusce,Pangushan
2599555183,"[{""NPI"":""8825429649""},{""NPI"":""4151147268""},{""NPI"":""3853713084""}]",0808363678,3/28/2019,ultrices posuere cubilia curae mauris,Witzenhausen
0797749489,"[{""NPI"":""1777453291""},{""NPI"":""2776868839""},{""NPI"":""3548726984""},{""NPI"":""6922899598""},{""NPI"":""8742524237""}]",7733068225,12/8/2018,luctus et,Ogawa
9503188946,"[{""NPI"":""1663050155""},{""NPI"":""0814026133""},{""NPI"":""2287494685""},{""NPI"":""8082389370""}]",6559881507,8/28/2019,maecenas leo odio condimentum,Karangpari
9907182656,"[{""NPI"":""4757153597""},{""NPI"":""8570374437""},{""NPI"":""8802790965""}]",9106622006,7/15/2019,posuere cubilia curae,Nandong
0769762670,"[{""NPI"":""7147537114""},{""NPI"":""6454051366""},{""NPI"":""5683334640""}]",8068906902,1/21/2019,suspendisse potenti in eleifend quam,Kampen (Overijssel)
9649090223,"[{""NPI"":""1065893191""},{""NPI"":""1831256479""},{""NPI"":""1303879697""},{""NPI"":""5909220837""}]",8280754512,5/8/2019,vel augue vestibulum,Rubio
3363262787,"[{""NPI"":""8896992702""},{""NPI"":""4703209128""},{""NPI"":""6369977764""}]",2880955893,1/19/2019,mi in,Novo Hamburgo
2339174686,"[{""NPI"":""2122646853""},{""NPI"":""4703209128""}]",2302047422,12/17/2018,ac tellus semper,Itapemirim
9528731074,"[{""NPI"":""8577249271""},{""NPI"":""0737263806""},{""NPI"":""4092247338""},{""NPI"":""7578435884""},{""NPI"":""9075745176""}]",8916095042,9/8/2019,elementum in,Albany
2999378874,"[{""NPI"":""2098530579""},{""NPI"":""1763414329""},{""NPI"":""9603555312""}]",5838701840,3/11/2019,tellus nulla ut erat,Njeru
6754683945,"[{""NPI"":""4592756320""},{""NPI"":3500222013},{""NPI"":""6203610232""},{""NPI"":""9603555312""},{""NPI"":""2861511761""}]",1339263303,8/12/2019,tempor turpis nec euismod,Dudchany
2595448781,"[{""NPI"":""5084347303""},{""NPI"":""5188682893""}]",7906021398,12/21/2018,velit donec diam neque vestibulum,Langtad
0268708940,"[{""NPI"":1283066823},{""NPI"":""7428180848""}]",3022573635,11/5/2018,egestas metus aenean fermentum donec,Kolaka
3343410578,"[{""NPI"":""0913125830""},{""NPI"":""3676913345""},{""NPI"":""3840583284""}]",6504070433,10/8/2019,rutrum at lorem integer tincidunt,Hāfizābād
0444040579,"[{""NPI"":""0589084259""},{""NPI"":""5505496563""},{""NPI"":""8471573857""},{""NPI"":""2094095304""},{""NPI"":""8903932595""}]",7986397147,7/29/2019,sollicitudin ut,Ciomas
3220671454,"[{""NPI"":""0047361956""},{""NPI"":""4026044416""}]",1679954041,1/6/2019,est et tempus semper,Zagreb
4701556009,"[{""NPI"":""5925516559""},{""NPI"":""0014579480""}]",7565110362,7/8/2019,blandit nam nulla,Évry
8082389370,"[{""NPI"":""8817542679""},{""NPI"":""5238608985""}]",2777883450,11/9/2018,congue risus semper,Battaramulla South
3961671885,"[{""NPI"":""5812394342""},{""NPI"":""8515315831""}]",0387875993,1/13/2019,nisl aenean lectus,Saint-Lambert-de-Lauzon
6274740864,"[{""NPI"":""0418262446""},{""NPI"":""5336862274""},{""NPI"":7210385843}]",2400016021,1/8/2019,orci nullam,Pozhang
0205319262,"[{""NPI"":""7192349216""}]",2261563599,2/4/2019,turpis a pede,Bitica
3809560022,"[{""NPI"":""3952117293""},{""NPI"":""3531061798""}]",9597040613,11/10/2018,suscipit a,Erong
5505496563,"[{""NPI"":""4037130068""},{""NPI"":""4445162957""}]",1873194987,10/10/2019,sapien urna,Bellavista
5529429394,"[{""NPI"":4529860833},{""NPI"":""6273581444""},{""NPI"":""6620574920""},{""NPI"":""8786548263""}]",2696120209,6/16/2019,a ipsum integer a,Thatta
7758980430,"[{""NPI"":""2122646853""}]",1334374357,11/26/2018,nec nisi volutpat eleifend donec,Студеничани
6607519261,"[{""NPI"":""2496698909""}]",4713643350,10/31/2018,justo sit,Araçatuba
1643210017,"[{""NPI"":""2854079868""},{""NPI"":""1560368330""},{""NPI"":""2572783916""},{""NPI"":""3363262787""}]",1055825243,11/9/2018,nisl aenean lectus,Dabu
8735980214,"[{""NPI"":""2452628093""},{""NPI"":9392991037}]",4912825672,12/26/2018,etiam pretium iaculis justo,La Dorada
6754683945,"[{""NPI"":""0862832632""}]",2925387893,2/17/2019,non velit nec,Kula
5991364923,"[{""NPI"":""9492357747""},{""NPI"":""6683286191""}]",3131622391,5/1/2019,consequat morbi a ipsum integer,Chynów
1687900337,"[{""NPI"":""3157311581""},{""NPI"":""0984322248""},{""NPI"":""8278518521""},{""NPI"":""2530014965""}]",4227618101,8/14/2019,ultrices vel augue,Nedakonice
5162661058,"[{""NPI"":""6878518210""},{""NPI"":""1110382073""},{""NPI"":""9017679476""},{""NPI"":""8378720772""},{""NPI"":""4350532102""}]",9842579145,8/13/2019,platea dictumst maecenas,Hengshitang
2654745163,"[{""NPI"":""9268921456""},{""NPI"":""8718212743""},{""NPI"":""4797608099""}]",4084466611,6/12/2019,mauris viverra diam,Kansas City
3821385650,"[{""NPI"":""8173170347""},{""NPI"":""3299175882""},{""NPI"":""7868420863""},{""NPI"":""6678092945""}]",0409279406,12/12/2018,mauris lacinia sapien,Lirung
8630060816,"[{""NPI"":""9749305817""},{""NPI"":""4059395536""},{""NPI"":""3182668366""}]",5511563883,5/27/2019,potenti nullam,Palaió Fáliro
4785806230,"[{""NPI"":""3784981348""},{""NPI"":""9768233729""},{""NPI"":""3698987708""}]",0840460984,3/18/2019,in leo,Pak Chong
4003589343,"[{""NPI"":""7482370919""},{""NPI"":""0105322903""}]",9565422398,6/25/2019,congue risus semper porta,Lawa-an
1831256479,"[{""NPI"":""3789463159""},{""NPI"":""2472644922""},{""NPI"":""8070771984""}]",4055797238,12/10/2018,ligula nec sem,Mamara
4320089642,"[{""NPI"":""3069708528""}]",8179359924,9/11/2019,eu tincidunt in leo maecenas,Saposoa
6182487380,"[{""NPI"":""6123749420""},{""NPI"":""8293896841""},{""NPI"":""6736083516""},{""NPI"":""3840263980""},{""NPI"":""5824909253""}]",0391317977,9/26/2019,rutrum nulla tellus,Cienfuegos
8524732202,"[{""NPI"":""3506219146""},{""NPI"":""8287921767""},{""NPI"":""6860245182""},{""NPI"":""9603555312""}]",5052294625,9/16/2019,sem praesent id,Dębica
0573786062,"[{""NPI"":""1219236861""},{""NPI"":""1016639112""},{""NPI"":""6770935260""}]",8152608317,6/26/2019,molestie sed justo pellentesque viverra,Rivera
4749261777,"[{""NPI"":""0458069760""},{""NPI"":""9052994528""},{""NPI"":""5505496563""},{""NPI"":""0317242318""}]",4275105656,1/22/2019,quisque erat eros viverra eget,Almeria
1082842753,"[{""NPI"":""9032904183""},{""NPI"":""7329346977""},{""NPI"":""3069708528""},{""NPI"":""1149721324""},{""NPI"":""0053015207""}]",9484921188,6/7/2019,nibh fusce,Outokumpu
9985719786,"[{""NPI"":""3921977835""}]",8926931189,8/7/2019,ac tellus semper interdum,Bauan
3299175882,"[{""NPI"":""5553063949""}]",3654213836,6/6/2019,tortor sollicitudin mi sit amet,Huangshan
9468124053,"[{""NPI"":""2579087966""}]",3115406664,7/12/2019,neque sapien placerat ante,Port Colborne
2067895206,"[{""NPI"":""7469272615""},{""NPI"":""7080997771""}]",5239987817,6/13/2019,dui maecenas tristique,Orsha
1412701643,"[{""NPI"":""1953564151""}]",7114954055,7/27/2019,nibh in lectus pellentesque at,La Roche-sur-Yon
0198817665,"[{""NPI"":""1719757712""},{""NPI"":""3152559577""},{""NPI"":""3531061798""},{""NPI"":""9768233729""},{""NPI"":""1670762823""}]",0286970142,11/20/2018,id pretium iaculis diam erat,Basseterre
3916157817,"[{""NPI"":""9593022589""},{""NPI"":""4194367707""},{""NPI"":""3018306953""},{""NPI"":""6950255187""}]",1376661476,2/7/2019,orci pede,Shuanggang
2099272956,"[{""NPI"":""9528731074""},{""NPI"":""1431658529""},{""NPI"":""2752432445""},{""NPI"":""3428933001""},{""NPI"":""4026044416""}]",8541840112,5/17/2019,nec condimentum,Matagbak
9307707596,"[{""NPI"":""0589084259""}]",8888050587,9/11/2019,vel nulla eget eros,Weton
4979256449,"[{""NPI"":""2696982910""},{""NPI"":""3302800363""}]",2622711295,12/31/2018,eget rutrum at lorem integer,Omu Aran
4059395536,"[{""NPI"":""0412527561""},{""NPI"":""7621291974""},{""NPI"":""8405021116""},{""NPI"":""4785806230""},{""NPI"":""9084964497""}]",9208344928,12/15/2018,quisque arcu libero rutrum,Vostryakovo
4786694355,"[{""NPI"":""4037130068""}]",0722353388,5/6/2019,aenean lectus pellentesque eget,Aipe
9593022589,"[{""NPI"":""4610275910""},{""NPI"":""8372755299""},{""NPI"":""3745638867""},{""NPI"":""8665587128""}]",6228399020,12/29/2018,aliquet massa id lobortis,Xylaganí
6678092945,"[{""NPI"":""5348623156""},{""NPI"":""5178491114""}]",3648954930,7/20/2019,cubilia curae mauris,Preko
6736083516,"[{""NPI"":""9591791461""},{""NPI"":""7501549400""}]",0680287079,7/1/2019,neque vestibulum,Hasuda
6586469686,"[{""NPI"":""5578502083""},{""NPI"":""0632028866""},{""NPI"":""1687900337""}]",1240951079,9/9/2019,quisque erat eros viverra eget,Upper San Mateo
3482086494,"[{""NPI"":""5303135381""},{""NPI"":""9335408220""},{""NPI"":""3126374158""}]",5109140864,5/27/2019,diam erat fermentum justo,Bueng Khong Long
0560581432,"[{""NPI"":""2890394573""},{""NPI"":""3147432173""},{""NPI"":""3460548843""}]",3164930145,12/31/2018,curae nulla,Novokhopërsk
9293736535,"[{""NPI"":""2225887047""}]",9101105323,10/21/2018,diam vitae,Baraguá
0761842233,"[{""NPI"":""3542962775""},{""NPI"":""8173170347""}]",3885961594,9/30/2019,lectus suspendisse potenti in,Yudai
6388276458,"[{""NPI"":""2613282886""},{""NPI"":""9530992297""}]",9211515950,10/10/2019,semper rutrum nulla,Obonoma
8570374437,"[{""NPI"":""1335498311""},{""NPI"":""3933010675""},{""NPI"":""6297715769""}]",8000091050,10/2/2019,fusce consequat nulla nisl nunc,Ciudad Bolívar
2873377070,"[{""NPI"":""9960715671""}]",2316686313,9/22/2019,ultrices vel augue vestibulum ante,Радовиш
3935642784,"[{""NPI"":""8274332342""}]",6595463485,9/7/2019,erat vestibulum sed magna,Ramada
